;;;;;;;;;;;;;
;EZY CHEF PTY LTD;;;;;;;;;;;;
;1/140, Northcorp Blvd;;;;;;;;;;;;
;Broadmeadows;;;;;;;;;;;;
;VIC - 3047;;;;;;;;;;;;
;;;;;;;;;;;;;
;Analyse Sales [Item Multi-Period] - COST OF SALES;;;;;;;;;;;;
;July 2019 To April 2020;;;;;;;;;;;;
;;;;;;;;;;;;;
;Item No.;Item Name;July;August;September;October;November;December;January;February;March;April;Total
;;;;;;;;;;;;;
;Ezy001-Kent (CP);Kent Pumpkin LARGE for CP;$1,670.04;$941.51;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$2,611.55
;Ezy001-Warragold (CP);Warragold Pumpkin LARGE for CP;$506.81;$2,713.93;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3,220.74
;Ezy0021-3;PFG Lidding Film (NTL6P) 3wide;$0.00;$163.20;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$163.20
;Ezy0021-630mm;VFFS BLUE  Film Laminate 630mm;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;($15.46);$0.00;$0.00;$0.00;($15.46)
;Ezy0021-cut&wrap;LPG Cut & Wrap Film;$0.00;$382.91;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$382.91
;Ezy0021-NBStarterFilm;NB Film for 600g Starter Film;$0.00;$0.00;$0.00;$0.00;($5.45);$0.00;$0.00;$0.00;$0.00;$0.00;($5.45)
;Ezy0022-BagC&WKent;CP LPG Vacuum Bag - Kent C&W;$0.00;$8.87;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$8.87
;Ezy0022-Small;PFG Pumpkin Trays 700gm Small;$0.00;$584.07;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$584.07
;Ezy0024;PFG - Coles C Crates;($164.65);$511.62;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$346.97
;Ezy0024A;LPG - Coles A Crates;($307.10);$263.10;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;($44.00)
;Ezy0032-Tub;560gm Round Tub;$0.00;$0.00;$0.00;$0.00;$44.94;$0.00;$0.00;$0.00;$0.00;$0.00;$44.94
;Ezy0037r;15kg (20Ltr) Aseptic Bag;$204.38;$164.78;$164.78;$0.00;$196.24;($182.22);$0.00;$0.00;$0.00;$0.00;$547.96
